State/Union Territory,Population estimates
Andaman and Nicobar Islands,420000
Andhra Pradesh,54400000
Arunachal Pradesh,1592000
Assam,36000000
Bihar,127000000
Chandigarh,1169000
Chhattisgarh,29800000
Dadra and Nagar Haveli and Daman and Diu,620000
Delhi,19000000
Goa,1600000
Gujarat,64300000
Haryana,28500000
Himachal Pradesh,7500000
Jammu and Kashmir,13800000
Jharkhand,39200000
Karnataka,68300000
Kerala,36000000
Ladakh,290000
Lakshadweep,74151
Madhya Pradesh,87000000
Maharashtra,124300000
Manipur,3200000
Meghalaya,3400000
Mizoram,1255000
Nagaland,2300000
Odisha,46900000
Puducherry,1432000
Punjab,30000000
Rajasthan,82500000
Sikkim,700000
Tamil Nadu,78500000
Telangana,39800000
Tripura,4200000
Uttar Pradesh,240000000
Uttarakhand,11400000
West Bengal,100000000
